"","timeslot","colony","treatment","similarity","target_color","target_concentration","companion_color","companion_concentration","species","total_visitation","flowertype","number_individuals","relative_target_visitation","date","start_time_of_experiment","temp_at_start_of_experiment","comments","id","attractiveness"
"1",7,"7","2","Dissimilar","orange",10,"light_blue","20","stingless",20,"target",13,0.65,"2025-02-05","12:16",28,"","7_2","low"
"2",7,"7","2","Dissimilar","orange",10,"light_blue","20","honeybee",20,"target",0,0.65,"2025-02-05","12:16",28,"","7_2","low"
"3",7,"7","2","Dissimilar","orange",10,"light_blue","20","stingless",20,"companion",7,0.65,"2025-02-05","12:16",28,"","7_2","low"
"4",7,"7","2","Dissimilar","orange",10,"light_blue","20","honeybee",20,"companion",0,0.65,"2025-02-05","12:16",28,"","7_2","low"
"5",12,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",3,"target",1,0.333333333333333,"2025-02-26","10:00",23,"","12_2","low"
"6",12,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",3,"target",0,0.333333333333333,"2025-02-26","10:00",23,"","12_2","low"
"7",12,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",3,"companion",2,0.333333333333333,"2025-02-26","10:00",23,"","12_2","low"
"8",12,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",3,"companion",0,0.333333333333333,"2025-02-26","10:00",23,"","12_2","low"
"9",12,"8","4","Similar","orange",10,"red","20","stingless",10,"target",3,0.3,"2025-02-26","09:55",23,"","8_4","low"
"10",12,"8","4","Similar","orange",10,"red","20","honeybee",10,"target",0,0.3,"2025-02-26","09:55",23,"","8_4","low"
"11",12,"8","4","Similar","orange",10,"red","20","stingless",10,"companion",7,0.3,"2025-02-26","09:55",23,"","8_4","low"
"12",12,"8","4","Similar","orange",10,"red","20","honeybee",10,"companion",0,0.3,"2025-02-26","09:55",23,"","8_4","low"
"13",12,"12","5","control","orange",10,"orange","10","stingless",8,"target",4,1,"2025-02-26","12:40",28,"","12_5","control"
"14",12,"12","5","control","orange",10,"orange","10","honeybee",8,"target",0,1,"2025-02-26","12:40",28,"","12_5","control"
"15",12,"12","5","control","orange",10,"orange","10","stingless",8,"companion",0,1,"2025-02-26","12:40",28,"","12_5","control"
"16",12,"12","5","control","orange",10,"orange","10","honeybee",8,"companion",0,1,"2025-02-26","12:40",28,"","12_5","control"
"17",11,"12","5","control","orange",10,"orange","10","stingless",7,"target",4,1,"2025-02-26","12:40",28,"","12_5","control"
"18",11,"12","5","control","orange",10,"orange","10","honeybee",7,"target",0,1,"2025-02-26","12:40",28,"","12_5","control"
