"","timeslot","colony","treatment","similarity","target_color","target_concentration","companion_color","companion_concentration","species","total_visitation","flowertype","number_individuals","relative_target_visitation","date","start_time_of_experiment","temp_at_start_of_experiment","comments","id","attractiveness","condition","patch1","hex_distance"
"1",7,"7","2","Dissimilar","orange",10,"light_blue","20","stingless",20,"target",13,0.65,"2025-02-05","12:16",28,"","7_2","low","low_Dissimilar","orange",0.23553903
"2",12,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",3,"target",1,0.333333333333333,"2025-02-26","10:00",23,"","12_2","low","low_Dissimilar","orange",0.23553903
"3",12,"8","4","Similar","orange",10,"red","20","stingless",10,"target",3,0.3,"2025-02-26","09:55",23,"","8_4","low","low_Similar","orange",0.20124656
"4",12,"12","5","control","orange",10,"orange","10","stingless",8,"target",4,1,"2025-02-26","12:40",28,"","12_5","control","control_control",NA,0
"5",11,"12","5","control","orange",10,"orange","10","stingless",7,"target",4,1,"2025-02-26","12:40",28,"","12_5","control","control_control",NA,0
"6",10,"12","5","control","orange",10,"orange","10","stingless",5,"target",2,1,"2025-02-26","12:40",28,"","12_5","control","control_control",NA,0
"7",9,"12","5","control","orange",10,"orange","10","stingless",2,"target",1,1,"2025-02-26","12:40",28,"","12_5","control","control_control",NA,0
"8",8,"12","5","control","orange",10,"orange","10","stingless",2,"target",1,1,"2025-02-26","12:40",28,"","12_5","control","control_control",NA,0
"9",7,"12","5","control","orange",10,"orange","10","stingless",2,"target",1,1,"2025-02-26","12:40",28,"","12_5","control","control_control",NA,0
"10",6,"12","5","control","orange",10,"orange","10","stingless",1,"target",0,1,"2025-02-26","12:40",28,"","12_5","control","control_control",NA,0
"11",5,"12","5","control","orange",10,"orange","10","stingless",2,"target",1,1,"2025-02-26","12:40",28,"","12_5","control","control_control",NA,0
"12",4,"12","5","control","orange",10,"orange","10","stingless",3,"target",2,1,"2025-02-26","12:40",28,"","12_5","control","control_control",NA,0
"13",3,"12","5","control","orange",10,"orange","10","stingless",2,"target",1,1,"2025-02-26","12:40",28,"","12_5","control","control_control",NA,0
"14",2,"12","5","control","orange",10,"orange","10","stingless",3,"target",2,1,"2025-02-26","12:40",28,"","12_5","control","control_control",NA,0
"15",1,"12","5","control","orange",10,"orange","10","stingless",3,"target",2,1,"2025-02-26","12:40",28,"","12_5","control","control_control",NA,0
"16",11,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",5,"target",1,0.2,"2025-02-26","10:00",23,"","12_2","low","low_Dissimilar","orange",0.23553903
"17",10,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",6,"target",2,0.333333333333333,"2025-02-26","10:00",23,"","12_2","low","low_Dissimilar","orange",0.23553903
"18",9,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",5,"target",2,0.4,"2025-02-26","10:00",23,"","12_2","low","low_Dissimilar","orange",0.23553903
"19",8,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",6,"target",2,0.333333333333333,"2025-02-26","10:00",23,"","12_2","low","low_Dissimilar","orange",0.23553903
"20",7,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",4,"target",2,0.5,"2025-02-26","10:00",23,"","12_2","low","low_Dissimilar","orange",0.23553903
"21",4,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",1,"target",1,1,"2025-02-26","10:00",23,"","12_2","low","low_Dissimilar","orange",0.23553903
"22",5,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",2,"target",1,0.5,"2025-02-26","10:00",23,"","12_2","low","low_Dissimilar","orange",0.23553903
"23",6,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",3,"target",0,0,"2025-02-26","10:00",23,"","12_2","low","low_Dissimilar","orange",0.23553903
"24",3,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",1,"target",1,1,"2025-02-26","10:00",23,"","12_2","low","low_Dissimilar","orange",0.23553903
"25",2,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",0,"target",0,NA,"2025-02-26","10:00",23,"","12_2","low","low_Dissimilar","orange",0.23553903
"26",1,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",0,"target",0,NA,"2025-02-26","10:00",23,"","12_2","low","low_Dissimilar","orange",0.23553903
"27",12,"12","3","Similar","orange",10,"yellow","40","stingless",3,"target",1,0.333333333333333,"2025-02-25","13:47",24,"","12_3","high","high_Similar","orange",0.1086285
"28",11,"12","3","Similar","orange",10,"yellow","40","stingless",4,"target",1,0.25,"2025-02-25","13:47",24,"","12_3","high","high_Similar","orange",0.1086285
"29",10,"12","3","Similar","orange",10,"yellow","40","stingless",5,"target",2,0.4,"2025-02-25","13:47",24,"","12_3","high","high_Similar","orange",0.1086285
"30",9,"12","3","Similar","orange",10,"yellow","40","stingless",4,"target",1,0.25,"2025-02-25","13:47",24,"","12_3","high","high_Similar","orange",0.1086285
"31",8,"12","3","Similar","orange",10,"yellow","40","stingless",4,"target",1,0.25,"2025-02-25","13:47",24,"","12_3","high","high_Similar","orange",0.1086285
"32",7,"12","3","Similar","orange",10,"yellow","40","stingless",7,"target",2,0.285714285714286,"2025-02-25","13:47",24,"","12_3","high","high_Similar","orange",0.1086285
"33",6,"12","3","Similar","orange",10,"yellow","40","stingless",5,"target",1,0.2,"2025-02-25","13:47",24,"","12_3","high","high_Similar","orange",0.1086285
"34",5,"12","3","Similar","orange",10,"yellow","40","stingless",5,"target",1,0.2,"2025-02-25","13:47",24,"","12_3","high","high_Similar","orange",0.1086285
"35",4,"12","3","Similar","orange",10,"yellow","40","stingless",1,"target",0,0,"2025-02-25","13:47",24,"","12_3","high","high_Similar","orange",0.1086285
"36",3,"12","3","Similar","orange",10,"yellow","40","stingless",0,"target",0,NA,"2025-02-25","13:47",24,"","12_3","high","high_Similar","orange",0.1086285
"37",2,"12","3","Similar","orange",10,"yellow","40","stingless",1,"target",0,0,"2025-02-25","13:47",24,"","12_3","high","high_Similar","orange",0.1086285
"38",1,"12","3","Similar","orange",10,"yellow","40","stingless",0,"target",0,NA,"2025-02-25","13:47",24,"","12_3","high","high_Similar","orange",0.1086285
"39",12,"13","5","control","orange",10,"orange","10","stingless",5,"target",2,1,"2025-02-26","12:17",26,"","13_5","control","control_control",NA,0
"40",12,"11","3","Similar","orange",10,"yellow","40","stingless",15,"target",3,0.2,"2025-02-26","12:22",26,"","11_3","high","high_Similar","orange",0.1086285
"41",11,"13","5","control","orange",10,"orange","10","stingless",2,"target",1,1,"2025-02-26","12:17",26,"","13_5","control","control_control",NA,0
"42",10,"10","3","Similar","orange",10,"yellow","40","stingless",12,"target",5,0.416666666666667,"2025-02-26","12:17",26,"","10_3","high","high_Similar","orange",0.1086285
